item_id,title,type,R,K,N,price,lat,lon,tags,description,actividad_level,outdoor,accesible
23,Hotel 023,hotel,4.1,23,462,2604.42,18.8289,-97.1,"familiar,romántico,ecológico",Lugar de tipo hotel con enfoque en familiar y romántico.,2,0,0
24,Tienda 024,tienda,4.1,24,364,321.13,18.8984,-97.1548,"artesanía,gastronomía,local",Lugar de tipo tienda con enfoque en artesanía y gastronomía.,1,0,0
25,Hotel 025,hotel,4.9,25,484,863.23,18.819,-97.1169,"ecológico,familiar,panorama",Lugar de tipo hotel con enfoque en ecológico y familiar.,1,1,0
26,Restaurante 026,restaurante,4.0,26,472,537.38,18.8478,-97.1332,"familiar,romántico",Lugar de tipo restaurante con enfoque en familiar y romántico.,2,0,0
27,Atracción 027,atracción,4.0,27,298,173.17,18.8739,-97.1109,"familiar,historia,naturaleza",Lugar de tipo atracción con enfoque en familiar y historia.,4,1,0
28,Restaurante 028,restaurante,3.8,28,109,449.54,18.8363,-97.1557,"familiar,gastronomía",Lugar de tipo restaurante con enfoque en familiar y gastronomía.,2,0,0
29,Atracción 029,atracción,4.5,29,71,192.07,18.8852,-97.1235,"cultura,historia,naturaleza",Lugar de tipo atracción con enfoque en cultura y historia.,4,1,0
30,Tour 030,tour,4.9,30,294,1143.44,18.8152,-97.1589,"cultural,excursión",Lugar de tipo tour con enfoque en cultural y excursión.,3,1,0
31,Atracción 031,atracción,4.2,31,321,261.24,18.8898,-97.1232,"historia,cultura,naturaleza",Lugar de tipo atracción con enfoque en historia y cultura.,2,1,0
32,Restaurante 032,restaurante,3.7,32,274,199.49,18.8646,-97.0869,"urbano,gastronomía",Lugar de tipo restaurante con enfoque en urbano y gastronomía.,2,0,0
33,Tienda 033,tienda,4.2,33,397,261.55,18.8529,-97.1771,"gastronomía,local,souvenir",Lugar de tipo tienda con enfoque en gastronomía y local.,2,0,0
34,Hotel 034,hotel,3.9,34,406,2193.06,18.8187,-97.1575,"descanso,panorama",Lugar de tipo hotel con enfoque en descanso y panorama.,1,1,0
35,Restaurante 035,restaurante,3.7,35,477,442.12,18.8918,-97.178,"familiar,romántico,urbano",Lugar de tipo restaurante con enfoque en familiar y romántico.,2,0,0
36,Hotel 036,hotel,4.3,36,79,1393.57,18.8627,-97.1347,"romántico,familiar,ecológico",Lugar de tipo hotel con enfoque en romántico y familiar.,1,0,0
37,Tienda 037,tienda,4.9,37,348,177.81,18.882,-97.1446,"souvenir,gastronomía",Lugar de tipo tienda con enfoque en souvenir y gastronomía.,1,0,0
38,Hotel 038,hotel,4.0,38,184,1138.22,18.8273,-97.1181,"descanso,ecológico",Lugar de tipo hotel con enfoque en descanso y ecológico.,1,0,1
39,Restaurante 039,restaurante,4.4,39,57,309.29,18.8292,-97.1329,"romántico,gastronomía,tradicional",Lugar de tipo restaurante con enfoque en romántico y gastronomía.,2,0,0
40,Tour 040,tour,3.9,40,219,380.56,18.8025,-97.1491,"naturaleza,excursión",Lugar de tipo tour con enfoque en naturaleza y excursión.,5,1,0
41,Restaurante 041,restaurante,4.3,41,106,258.09,18.8698,-97.1118,"urbano,romántico",Lugar de tipo restaurante con enfoque en urbano y romántico.,2,0,0
42,Tour 042,tour,4.4,42,345,1482.42,18.8518,-97.0939,"naturaleza,aventura",Lugar de tipo tour con enfoque en naturaleza y aventura.,4,1,1
43,Hotel 043,hotel,3.7,43,130,1786.2,18.8295,-97.1703,"panorama,romántico,familiar",Lugar de tipo hotel con enfoque en panorama y romántico.,2,1,0
44,Atracción 044,atracción,4.0,44,117,148.83,18.8432,-97.1232,"historia,cultura",Lugar de tipo atracción con enfoque en historia y cultura.,3,0,1
45,Tour 045,tour,3.7,45,275,760.01,18.8284,-97.1258,"cultural,naturaleza,aventura",Lugar de tipo tour con enfoque en cultural y naturaleza.,5,1,1
46,Atracción 046,atracción,4.1,46,62,188.46,18.8662,-97.093,"familiar,naturaleza,historia",Lugar de tipo atracción con enfoque en familiar y naturaleza.,3,1,0
47,Restaurante 047,restaurante,4.0,47,158,742.48,18.8589,-97.0817,"tradicional,gastronomía",Lugar de tipo restaurante con enfoque en tradicional y gastronomía.,2,0,0
48,Tienda 048,tienda,4.3,48,86,275.17,18.8884,-97.149,"gastronomía,local",Lugar de tipo tienda con enfoque en gastronomía y local.,1,0,0
49,Tienda 049,tienda,4.9,49,148,337.69,18.8532,-97.1368,"gastronomía,local,artesanía",Lugar de tipo tienda con enfoque en gastronomía y local.,1,0,1
50,Tienda 050,tienda,4.8,50,287,289.89,18.8408,-97.1535,"artesanía,local",Lugar de tipo tienda con enfoque en artesanía y local.,2,0,1
51,Atracción 051,atracción,4.6,51,88,354.07,18.8825,-97.0964,"cultura,vista",Lugar de tipo atracción con enfoque en cultura y vista.,2,0,0
52,Tienda 052,tienda,3.9,52,369,321.85,18.8961,-97.1787,"local,souvenir",Lugar de tipo tienda con enfoque en local y souvenir.,1,0,0
53,Tienda 053,tienda,4.4,53,366,114.93,18.8986,-97.1774,"artesanía,gastronomía,souvenir",Lugar de tipo tienda con enfoque en artesanía y gastronomía.,2,0,0
54,Tienda 054,tienda,4.1,54,280,134.09,18.863,-97.0955,"artesanía,gastronomía",Lugar de tipo tienda con enfoque en artesanía y gastronomía.,1,0,0
55,Hotel 055,hotel,4.8,55,415,1896.71,18.8629,-97.1332,"ecológico,familiar",Lugar de tipo hotel con enfoque en ecológico y familiar.,2,0,1
56,Restaurante 056,restaurante,3.9,56,401,791.09,18.8252,-97.0978,"urbano,gastronomía",Lugar de tipo restaurante con enfoque en urbano y gastronomía.,3,0,0
57,Hotel 057,hotel,4.4,57,425,2550.86,18.8486,-97.149,"ecológico,romántico,familiar",Lugar de tipo hotel con enfoque en ecológico y romántico.,2,0,0
58,Atracción 058,atracción,4.8,58,486,369.37,18.8111,-97.118,"naturaleza,vista,cultura",Lugar de tipo atracción con enfoque en naturaleza y vista.,3,1,0
59,Atracción 059,atracción,4.7,59,29,170.19,18.8655,-97.151,"naturaleza,familiar",Lugar de tipo atracción con enfoque en naturaleza y familiar.,4,1,0
60,Tour 060,tour,3.6,60,121,1868.24,18.8281,-97.1318,"aventura,excursión",Lugar de tipo tour con enfoque en aventura y excursión.,4,1,1
61,Atracción 061,atracción,4.4,61,44,102.14,18.8043,-97.1517,"cultura,historia,vista",Lugar de tipo atracción con enfoque en cultura y historia.,2,0,0
62,Atracción 062,atracción,4.4,62,279,238.95,18.8953,-97.1709,"cultura,historia,familiar",Lugar de tipo atracción con enfoque en cultura y historia.,2,0,0
63,Restaurante 063,restaurante,3.6,63,478,184.79,18.8954,-97.1554,"familiar,romántico,urbano",Lugar de tipo restaurante con enfoque en familiar y romántico.,2,0,1
64,Restaurante 064,restaurante,4.6,64,385,773.06,18.8947,-97.0971,"gastronomía,tradicional,urbano",Lugar de tipo restaurante con enfoque en gastronomía y tradicional.,3,0,1
65,Hotel 065,hotel,4.9,65,333,3257.97,18.878,-97.156,"familiar,romántico",Lugar de tipo hotel con enfoque en familiar y romántico.,2,0,0
66,Atracción 066,atracción,3.9,66,318,279.14,18.8718,-97.0879,"historia,familiar",Lugar de tipo atracción con enfoque en historia y familiar.,4,0,0
67,Tour 067,tour,4.0,67,39,1626.08,18.8178,-97.1236,"excursión,naturaleza",Lugar de tipo tour con enfoque en excursión y naturaleza.,3,1,0
68,Restaurante 068,restaurante,4.6,68,282,328.33,18.8031,-97.0919,"tradicional,familiar,gastronomía",Lugar de tipo restaurante con enfoque en tradicional y familiar.,3,0,0
69,Restaurante 069,restaurante,3.7,69,423,396.98,18.8767,-97.1637,"tradicional,urbano,gastronomía",Lugar de tipo restaurante con enfoque en tradicional y urbano.,3,0,0
70,Tour 070,tour,4.8,70,397,1487.85,18.8043,-97.1047,"naturaleza,extremo,cultural",Lugar de tipo tour con enfoque en naturaleza y extremo.,4,1,1
71,Restaurante 071,restaurante,4.4,71,361,495.15,18.8888,-97.1413,"gastronomía,romántico",Lugar de tipo restaurante con enfoque en gastronomía y romántico.,3,0,1
72,Atracción 072,atracción,4.6,72,379,168.85,18.8689,-97.081,"historia,vista,naturaleza",Lugar de tipo atracción con enfoque en historia y vista.,3,1,1
73,Tour 073,tour,3.7,73,250,1188.85,18.867,-97.1681,"cultural,aventura",Lugar de tipo tour con enfoque en cultural y aventura.,5,0,0
74,Atracción 074,atracción,4.8,74,327,142.8,18.8461,-97.1116,"familiar,cultura",Lugar de tipo atracción con enfoque en familiar y cultura.,4,0,1
75,Restaurante 075,restaurante,4.1,75,365,605.77,18.8213,-97.1374,"gastronomía,urbano,tradicional",Lugar de tipo restaurante con enfoque en gastronomía y urbano.,2,0,1
76,Tienda 076,tienda,3.6,76,87,482.39,18.85,-97.1378,"gastronomía,artesanía",Lugar de tipo tienda con enfoque en gastronomía y artesanía.,2,0,1
77,Atracción 077,atracción,3.7,77,190,377.94,18.8859,-97.1692,"naturaleza,historia,vista",Lugar de tipo atracción con enfoque en naturaleza y historia.,3,1,0
78,Tienda 078,tienda,4.9,78,230,208.61,18.8662,-97.0845,"artesanía,souvenir,local",Lugar de tipo tienda con enfoque en artesanía y souvenir.,1,0,0
79,Atracción 079,atracción,4.0,79,192,108.52,18.8703,-97.0936,"cultura,familiar",Lugar de tipo atracción con enfoque en cultura y familiar.,3,0,0
80,Hotel 080,hotel,4.8,80,413,1359.71,18.8033,-97.0942,"romántico,panorama",Lugar de tipo hotel con enfoque en romántico y panorama.,2,1,0
81,Tienda 081,tienda,4.0,81,227,445.13,18.8528,-97.1737,"souvenir,artesanía,gastronomía",Lugar de tipo tienda con enfoque en souvenir y artesanía.,2,0,0
82,Tour 082,tour,4.1,82,375,893.21,18.8091,-97.1427,"cultural,excursión,naturaleza",Lugar de tipo tour con enfoque en cultural y excursión.,3,1,0
83,Tour 083,tour,4.0,83,117,1268.83,18.8746,-97.1759,"aventura,cultural",Lugar de tipo tour con enfoque en aventura y cultural.,5,0,1
84,Tour 084,tour,4.6,84,177,1580.03,18.8671,-97.1518,"cultural,excursión",Lugar de tipo tour con enfoque en cultural y excursión.,4,1,0
85,Tienda 085,tienda,4.7,85,214,145.43,18.8953,-97.1407,"gastronomía,souvenir,artesanía",Lugar de tipo tienda con enfoque en gastronomía y souvenir.,1,0,0
86,Restaurante 086,restaurante,4.2,86,140,612.0,18.8662,-97.1325,"urbano,gastronomía,tradicional",Lugar de tipo restaurante con enfoque en urbano y gastronomía.,2,0,0
87,Restaurante 087,restaurante,4.5,87,471,238.05,18.8337,-97.1663,"romántico,familiar",Lugar de tipo restaurante con enfoque en romántico y familiar.,3,0,0
88,Tienda 088,tienda,4.2,88,184,381.91,18.8751,-97.1342,"souvenir,local,gastronomía",Lugar de tipo tienda con enfoque en souvenir y local.,2,0,0
89,Tour 089,tour,4.1,89,315,598.38,18.8929,-97.1521,"excursión,extremo,cultural",Lugar de tipo tour con enfoque en excursión y extremo.,4,1,1
90,Atracción 090,atracción,3.9,90,279,369.55,18.8697,-97.1555,"familiar,naturaleza",Lugar de tipo atracción con enfoque en familiar y naturaleza.,4,1,0
91,Restaurante 091,restaurante,4.1,91,123,341.08,18.8367,-97.1321,"familiar,romántico,gastronomía",Lugar de tipo restaurante con enfoque en familiar y romántico.,2,0,0
92,Restaurante 092,restaurante,4.8,92,483,512.24,18.8994,-97.1594,"romántico,urbano,tradicional",Lugar de tipo restaurante con enfoque en romántico y urbano.,2,0,0
93,Hotel 093,hotel,4.7,93,421,1214.9,18.8835,-97.1772,"romántico,ecológico,panorama",Lugar de tipo hotel con enfoque en romántico y ecológico.,2,1,0
94,Tienda 094,tienda,5.0,94,273,417.13,18.8377,-97.1272,"local,souvenir",Lugar de tipo tienda con enfoque en local y souvenir.,1,0,0
95,Restaurante 095,restaurante,4.0,95,361,596.39,18.8569,-97.1016,"familiar,romántico,tradicional",Lugar de tipo restaurante con enfoque en familiar y romántico.,2,0,0
96,Tienda 096,tienda,3.6,96,464,102.31,18.8852,-97.1785,"souvenir,local,gastronomía",Lugar de tipo tienda con enfoque en souvenir y local.,1,0,0
97,Restaurante 097,restaurante,3.5,97,385,738.21,18.838,-97.1574,"gastronomía,urbano",Lugar de tipo restaurante con enfoque en gastronomía y urbano.,3,0,0
98,Restaurante 098,restaurante,4.3,98,236,661.31,18.8304,-97.1116,"romántico,gastronomía,urbano",Lugar de tipo restaurante con enfoque en romántico y gastronomía.,2,0,1
99,Atracción 099,atracción,4.6,99,65,225.68,18.8308,-97.1001,"vista,familiar",Lugar de tipo atracción con enfoque en vista y familiar.,2,0,1
100,Tienda 100,tienda,4.0,100,223,480.0,18.8443,-97.1452,"gastronomía,souvenir",Lugar de tipo tienda con enfoque en gastronomía y souvenir.,2,0,1
101,Tienda 101,tienda,4.5,101,396,181.85,18.894,-97.1623,"artesanía,local,gastronomía",Lugar de tipo tienda con enfoque en artesanía y local.,2,0,0
102,Restaurante 102,restaurante,5.0,102,473,358.76,18.8589,-97.1663,"gastronomía,romántico,familiar",Lugar de tipo restaurante con enfoque en gastronomía y romántico.,2,0,0
103,Tienda 103,tienda,3.9,103,77,158.29,18.8948,-97.0886,"local,gastronomía,souvenir",Lugar de tipo tienda con enfoque en local y gastronomía.,2,0,0
104,Tour 104,tour,3.8,104,183,1441.15,18.8338,-97.1593,"cultural,extremo,excursión",Lugar de tipo tour con enfoque en cultural y extremo.,5,1,1
105,Tour 105,tour,4.6,105,110,321.51,18.8313,-97.1714,"naturaleza,aventura,cultural",Lugar de tipo tour con enfoque en naturaleza y aventura.,4,1,1
106,Hotel 106,hotel,3.8,106,141,2204.44,18.8539,-97.1753,"ecológico,panorama,romántico",Lugar de tipo hotel con enfoque en ecológico y panorama.,2,1,1
107,Restaurante 107,restaurante,4.3,107,287,193.5,18.803,-97.1148,"urbano,familiar",Lugar de tipo restaurante con enfoque en urbano y familiar.,3,0,1
108,Tienda 108,tienda,3.8,108,161,78.17,18.8031,-97.1023,"souvenir,local",Lugar de tipo tienda con enfoque en souvenir y local.,1,0,0
109,Hotel 109,hotel,4.2,109,126,1521.6,18.8017,-97.1032,"descanso,familiar,romántico",Lugar de tipo hotel con enfoque en descanso y familiar.,1,0,0
110,Atracción 110,atracción,3.9,110,238,73.85,18.8259,-97.1631,"vista,historia",Lugar de tipo atracción con enfoque en vista y historia.,4,0,1
111,Tienda 111,tienda,5.0,111,183,449.59,18.8244,-97.0949,"artesanía,gastronomía",Lugar de tipo tienda con enfoque en artesanía y gastronomía.,2,0,0
112,Tienda 112,tienda,4.7,112,280,379.55,18.8547,-97.1608,"gastronomía,souvenir",Lugar de tipo tienda con enfoque en gastronomía y souvenir.,2,0,1
113,Tour 113,tour,4.6,113,212,1646.62,18.8251,-97.1741,"cultural,aventura",Lugar de tipo tour con enfoque en cultural y aventura.,3,0,1
114,Hotel 114,hotel,4.7,114,165,2792.59,18.8997,-97.1241,"romántico,ecológico,familiar",Lugar de tipo hotel con enfoque en romántico y ecológico.,2,0,0
115,Hotel 115,hotel,3.7,115,22,1936.78,18.864,-97.1374,"descanso,panorama",Lugar de tipo hotel con enfoque en descanso y panorama.,2,1,0
116,Tour 116,tour,4.0,116,378,1394.21,18.8456,-97.0908,"aventura,extremo,excursión",Lugar de tipo tour con enfoque en aventura y extremo.,5,1,0
117,Atracción 117,atracción,4.3,117,87,187.72,18.8773,-97.1292,"naturaleza,cultura",Lugar de tipo atracción con enfoque en naturaleza y cultura.,4,1,1
118,Tour 118,tour,4.5,118,60,828.22,18.8072,-97.136,"aventura,excursión,cultural",Lugar de tipo tour con enfoque en aventura y excursión.,3,1,0
119,Hotel 119,hotel,3.7,119,220,2026.28,18.8338,-97.1705,"descanso,ecológico",Lugar de tipo hotel con enfoque en descanso y ecológico.,2,0,1
120,Tour 120,tour,3.8,120,194,979.48,18.8222,-97.1116,"excursión,extremo,cultural",Lugar de tipo tour con enfoque en excursión y extremo.,5,1,0
121,Atracción 121,atracción,3.6,121,348,193.25,18.892,-97.1029,"historia,cultura",Lugar de tipo atracción con enfoque en historia y cultura.,3,0,0
122,Tienda 122,tienda,4.6,122,341,57.13,18.8471,-97.1678,"local,souvenir,gastronomía",Lugar de tipo tienda con enfoque en local y souvenir.,2,0,1
123,Atracción 123,atracción,4.7,123,359,249.33,18.8203,-97.1067,"vista,historia,naturaleza",Lugar de tipo atracción con enfoque en vista y historia.,2,1,0
124,Tienda 124,tienda,4.2,124,28,287.48,18.8686,-97.1695,"local,souvenir",Lugar de tipo tienda con enfoque en local y souvenir.,1,0,0
125,Tour 125,tour,4.7,125,30,1747.08,18.8234,-97.1275,"excursión,aventura,cultural",Lugar de tipo tour con enfoque en excursión y aventura.,5,1,0
126,Hotel 126,hotel,3.6,126,325,3402.48,18.8635,-97.1587,"ecológico,familiar,panorama",Lugar de tipo hotel con enfoque en ecológico y familiar.,1,1,0
127,Tienda 127,tienda,4.9,127,348,200.06,18.8975,-97.1446,"local,gastronomía,souvenir",Lugar de tipo tienda con enfoque en local y gastronomía.,1,0,0
128,Atracción 128,atracción,4.5,128,222,114.32,18.8311,-97.1077,"familiar,naturaleza,vista",Lugar de tipo atracción con enfoque en familiar y naturaleza.,4,1,1
129,Atracción 129,atracción,4.9,129,463,278.21,18.8363,-97.1726,"cultura,vista,historia",Lugar de tipo atracción con enfoque en cultura y vista.,3,0,0
130,Tienda 130,tienda,3.7,130,395,496.99,18.8503,-97.1533,"souvenir,gastronomía",Lugar de tipo tienda con enfoque en souvenir y gastronomía.,1,0,0
131,Tour 131,tour,3.7,131,207,1541.39,18.8691,-97.1645,"naturaleza,extremo",Lugar de tipo tour con enfoque en naturaleza y extremo.,5,1,1
132,Hotel 132,hotel,4.8,132,337,3415.39,18.8942,-97.0924,"romántico,familiar",Lugar de tipo hotel con enfoque en romántico y familiar.,2,0,1
133,Tour 133,tour,4.2,133,201,1928.19,18.8679,-97.1332,"cultural,extremo",Lugar de tipo tour con enfoque en cultural y extremo.,4,0,1
134,Tour 134,tour,4.9,134,383,1663.7,18.8561,-97.1071,"cultural,excursión,aventura",Lugar de tipo tour con enfoque en cultural y excursión.,5,1,0
135,Hotel 135,hotel,4.1,135,471,2027.72,18.829,-97.1606,"panorama,ecológico",Lugar de tipo hotel con enfoque en panorama y ecológico.,2,1,0
136,Tienda 136,tienda,4.2,136,154,433.39,18.8504,-97.1276,"local,souvenir,artesanía",Lugar de tipo tienda con enfoque en local y souvenir.,1,0,0
137,Tienda 137,tienda,4.6,137,41,424.25,18.8887,-97.1649,"gastronomía,local",Lugar de tipo tienda con enfoque en gastronomía y local.,1,0,1
138,Hotel 138,hotel,3.9,138,485,3307.94,18.8998,-97.1165,"panorama,romántico,ecológico",Lugar de tipo hotel con enfoque en panorama y romántico.,1,1,0
139,Hotel 139,hotel,4.9,139,183,2112.24,18.8029,-97.1026,"panorama,descanso",Lugar de tipo hotel con enfoque en panorama y descanso.,1,1,0
140,Hotel 140,hotel,4.0,140,262,2713.9,18.827,-97.1235,"ecológico,descanso,familiar",Lugar de tipo hotel con enfoque en ecológico y descanso.,2,0,1
141,Hotel 141,hotel,3.6,141,69,1476.69,18.8512,-97.108,"familiar,descanso",Lugar de tipo hotel con enfoque en familiar y descanso.,2,0,1
142,Tour 142,tour,4.7,142,324,1764.88,18.8993,-97.1584,"naturaleza,cultural",Lugar de tipo tour con enfoque en naturaleza y cultural.,5,1,1
143,Hotel 143,hotel,4.9,143,260,1401.85,18.872,-97.1656,"familiar,descanso,panorama",Lugar de tipo hotel con enfoque en familiar y descanso.,2,1,0
144,Hotel 144,hotel,4.7,144,142,1123.78,18.8199,-97.121,"romántico,descanso",Lugar de tipo hotel con enfoque en romántico y descanso.,1,0,0
145,Atracción 145,atracción,3.9,145,187,351.87,18.8799,-97.1264,"cultura,vista,historia",Lugar de tipo atracción con enfoque en cultura y vista.,2,0,1
146,Hotel 146,hotel,4.6,146,487,2442.42,18.8123,-97.0931,"panorama,ecológico,romántico",Lugar de tipo hotel con enfoque en panorama y ecológico.,1,1,0
147,Atracción 147,atracción,4.1,147,287,376.86,18.8799,-97.1355,"cultura,vista",Lugar de tipo atracción con enfoque en cultura y vista.,4,0,0
148,Tienda 148,tienda,4.8,148,408,124.97,18.8375,-97.0874,"artesanía,souvenir",Lugar de tipo tienda con enfoque en artesanía y souvenir.,2,0,0
149,Atracción 149,atracción,4.9,149,415,324.07,18.8443,-97.1739,"vista,cultura,naturaleza",Lugar de tipo atracción con enfoque en vista y cultura.,4,1,0
150,Hotel 150,hotel,3.9,150,460,1977.1,18.8199,-97.1182,"familiar,ecológico,panorama",Lugar de tipo hotel con enfoque en familiar y ecológico.,1,1,0
151,Restaurante 151,restaurante,3.6,151,261,708.82,18.8474,-97.1448,"romántico,urbano",Lugar de tipo restaurante con enfoque en romántico y urbano.,3,0,0
152,Atracción 152,atracción,3.8,152,322,297.34,18.8403,-97.1514,"cultura,historia,naturaleza",Lugar de tipo atracción con enfoque en cultura y historia.,4,1,0
153,Restaurante 153,restaurante,5.0,153,194,332.24,18.8444,-97.1409,"gastronomía,romántico,tradicional",Lugar de tipo restaurante con enfoque en gastronomía y romántico.,2,0,1
154,Tienda 154,tienda,4.1,154,398,454.2,18.8834,-97.166,"local,gastronomía",Lugar de tipo tienda con enfoque en local y gastronomía.,1,0,0
155,Restaurante 155,restaurante,4.9,155,151,730.8,18.8976,-97.1085,"tradicional,urbano,gastronomía",Lugar de tipo restaurante con enfoque en tradicional y urbano.,2,0,0
156,Atracción 156,atracción,4.9,156,294,113.76,18.8932,-97.1543,"historia,familiar",Lugar de tipo atracción con enfoque en historia y familiar.,3,0,0
157,Restaurante 157,restaurante,3.9,157,163,460.48,18.8284,-97.1711,"gastronomía,romántico,urbano",Lugar de tipo restaurante con enfoque en gastronomía y romántico.,3,0,0
158,Tour 158,tour,3.9,158,242,738.49,18.8203,-97.0805,"naturaleza,excursión,aventura",Lugar de tipo tour con enfoque en naturaleza y excursión.,4,1,1
159,Restaurante 159,restaurante,3.7,159,240,539.46,18.87,-97.1556,"urbano,gastronomía,familiar",Lugar de tipo restaurante con enfoque en urbano y gastronomía.,3,0,0
160,Tour 160,tour,4.3,160,37,730.15,18.8249,-97.1696,"excursión,cultural,naturaleza",Lugar de tipo tour con enfoque en excursión y cultural.,3,1,0
161,Restaurante 161,restaurante,4.3,161,192,775.35,18.8447,-97.1601,"urbano,tradicional",Lugar de tipo restaurante con enfoque en urbano y tradicional.,2,0,0
162,Hotel 162,hotel,4.3,162,320,3018.55,18.8424,-97.1451,"familiar,ecológico",Lugar de tipo hotel con enfoque en familiar y ecológico.,1,0,1
163,Tienda 163,tienda,4.1,163,358,122.3,18.8572,-97.0983,"souvenir,local",Lugar de tipo tienda con enfoque en souvenir y local.,2,0,0
164,Tienda 164,tienda,5.0,164,321,428.65,18.8731,-97.1102,"souvenir,artesanía",Lugar de tipo tienda con enfoque en souvenir y artesanía.,2,0,0
165,Tienda 165,tienda,4.7,165,467,319.22,18.8684,-97.1263,"local,souvenir,artesanía",Lugar de tipo tienda con enfoque en local y souvenir.,1,0,0
166,Atracción 166,atracción,5.0,166,313,91.25,18.8164,-97.0976,"naturaleza,vista",Lugar de tipo atracción con enfoque en naturaleza y vista.,4,1,0
167,Tour 167,tour,4.3,167,249,1831.29,18.8701,-97.1695,"extremo,cultural,naturaleza",Lugar de tipo tour con enfoque en extremo y cultural.,5,1,1
168,Tour 168,tour,4.8,168,85,975.99,18.8399,-97.141,"cultural,aventura,excursión",Lugar de tipo tour con enfoque en cultural y aventura.,4,1,1
169,Tienda 169,tienda,4.4,169,121,404.61,18.8993,-97.178,"gastronomía,souvenir,artesanía",Lugar de tipo tienda con enfoque en gastronomía y souvenir.,1,0,0
170,Tienda 170,tienda,4.8,170,180,173.21,18.8176,-97.1701,"artesanía,local",Lugar de tipo tienda con enfoque en artesanía y local.,2,0,1
171,Atracción 171,atracción,4.5,171,388,354.23,18.8075,-97.1251,"naturaleza,vista",Lugar de tipo atracción con enfoque en naturaleza y vista.,2,1,0
172,Restaurante 172,restaurante,3.7,172,208,645.06,18.8592,-97.1009,"urbano,gastronomía",Lugar de tipo restaurante con enfoque en urbano y gastronomía.,3,0,0
